bdmem;objID2;fechaIni;fechaFin
ASCC;Sbm01978;2006-03-07 00:00:00.000;NULL
ASCC;Sbm01979;2006-03-07 00:00:00.000;NULL
ASCC;Sbm01980;2006-03-07 00:00:00.000;NULL
ASCC;Sbm01981;2007-02-27 00:00:00.000;NULL
ASCC;Sbm01982;2007-02-27 00:00:00.000;NULL
ASCC;Sbm01987;2006-06-01 00:00:00.000;NULL
ASCC;Sbm01990;2008-07-01 00:00:00.000;NULL
ASCC;Sbm01991;2008-07-01 00:00:00.000;NULL
ASCC;Sbm01993;2008-07-01 00:00:00.000;NULL
ASCC;Sbm01997;2008-07-01 00:00:00.000;NULL
ASCC;Sbm02003;2010-03-13 00:00:00.000;NULL
ASCC;Sbm02011;2009-07-01 00:00:00.000;NULL
ASCC;Sbm02012;2004-01-07 00:00:00.000;NULL
ASCC;Sbm02013;2004-03-01 00:00:00.000;NULL
ASCC;Sbm02014;2023-06-22 00:00:00.000;NULL
ASCC;Sbm02015;2004-04-02 00:00:00.000;NULL
ASCC;Sbm02016;2004-04-02 00:00:00.000;NULL
ASCC;Sbm02023;2010-04-03 00:00:00.000;NULL
ASCC;Sbm02024;2004-07-06 00:00:00.000;NULL
ASCC;Sbm02025;2004-09-15 00:00:00.000;NULL
ASCC;Sbm02027;2004-10-09 00:00:00.000;NULL
ASCC;Sbm02028;2004-11-12 00:00:00.000;NULL
ASCC;Sbm02031;2004-12-25 00:00:00.000;NULL
ASCC;Sbm02032;2004-12-25 00:00:00.000;NULL
ASCC;Sbm02036;2005-04-13 00:00:00.000;NULL
ASCC;Sbm02037;2005-04-17 00:00:00.000;NULL
ASCC;Sbm02042;2005-07-02 00:00:00.000;NULL
ASCC;Sbm02044;2005-09-01 00:00:00.000;NULL
ASCC;Sbm02050;2005-10-01 00:00:00.000;NULL
ASCC;Sbm02051;2005-11-24 00:00:00.000;NULL
ASCC;Sbm02052;2005-11-24 00:00:00.000;NULL
ASCC;Sbm02053;2005-11-28 00:00:00.000;NULL
ASCC;Sbm02057;2006-02-15 00:00:00.000;NULL
ASCC;Sbm02058;2006-03-01 00:00:00.000;NULL
ASCC;Sbm02061;2006-03-29 00:00:00.000;NULL
ASCC;Sbm02062;2006-05-17 00:00:00.000;NULL
ASCC;Sbm02064;2006-06-28 00:00:00.000;NULL
ASCC;Sbm02068;2006-07-25 00:00:00.000;NULL
ASCC;Sbm02069;2006-07-25 00:00:00.000;NULL
ASCC;Sbm02070;2006-09-19 00:00:00.000;NULL
ASCC;Sbm02073;2023-04-26 00:00:00.000;NULL
ASCC;Sbm02079;2006-11-28 00:00:00.000;NULL
ASCC;Sbm02080;2006-12-12 00:00:00.000;NULL
ASCC;Sbm02082;2006-12-15 00:00:00.000;NULL
ASCC;Sbm02083;2006-12-27 00:00:00.000;NULL
ASCC;Sbm02084;2006-12-27 00:00:00.000;NULL
ASCC;Sbm02085;2007-02-06 00:00:00.000;NULL
ASCC;Sbm02088;2007-04-16 00:00:00.000;NULL
ASCC;Sbm02089;2007-06-01 00:00:00.000;NULL
ASCC;Sbm02091;2007-06-09 00:00:00.000;NULL
ASCC;Sbm02092;2007-06-16 00:00:00.000;NULL
ASCC;Sbm02093;2007-06-20 00:00:00.000;NULL
ASCC;Sbm02096;2007-08-19 00:00:00.000;NULL
ASCC;Sbm02097;2007-09-26 00:00:00.000;NULL
ASCC;Sbm02099;2007-10-03 00:00:00.000;NULL
ASCC;Sbm02100;2007-10-09 00:00:00.000;NULL
ASCC;Sbm02102;2008-02-05 00:00:00.000;NULL
ASCC;Sbm02103;2008-02-12 00:00:00.000;NULL
ASCC;Sbm02112;2011-02-19 00:00:00.000;NULL
ASCC;Sbm02116;2009-02-04 00:00:00.000;NULL
ASCC;Sbm02117;2009-05-25 00:00:00.000;NULL
ASCC;Sbm02125;2009-06-17 00:00:00.000;NULL
ASCC;Sbm02126;2009-06-17 00:00:00.000;NULL
ASCC;Sbm02127;2009-06-17 00:00:00.000;NULL
ASCC;Sbm02129;2009-07-01 00:00:00.000;NULL
ASCC;Sbm02138;2009-08-11 00:00:00.000;NULL
ASCC;Sbm02139;2009-08-18 00:00:00.000;NULL
ASCC;Sbm02141;2009-09-16 00:00:00.000;NULL
ASCC;Sbm02145;2009-10-30 00:00:00.000;NULL
ASCC;Sbm02146;2009-11-24 00:00:00.000;NULL
ASCC;Sbm02148;2019-06-20 00:00:00.000;NULL
