FECHA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24
1/01/2024;251,9116084;251,9116084;251,9116084;281,9116084;281,9116084;251,9116084;152,9116084;95,85160842;95,85160842;95,85160842;95,85160842;152,9116084;152,9116084;152,9116084;152,9116084;251,9116084;281,9116084;281,9116084;301,2326084;301,2326084;301,2326084;301,2326084;301,2326084;290,9116084
2/01/2024;360,2212745;360,2212745;309,8212745;284,3212745;309,8212745;317,3212745;317,3212745;360,2212745;379,3212745;317,3212745;360,2212745;379,3212745;419,3212745;419,3212745;419,3212745;419,3212745;419,3212745;419,3212745;449,3212745;449,3212745;449,3212745;449,3212745;419,3212745;419,3212745
3/01/2024;429,4882348;429,4882348;429,4882348;429,4882348;429,4882348;429,4882348;429,4882348;429,4882348;429,4882348;429,4882348;429,4882348;430,4882348;430,4882348;430,4882348;504,4882348;504,4882348;504,4882348;509,4882348;509,4882348;514,4882348;509,4882348;509,4882348;504,4882348;504,4882348
4/01/2024;519,9500452;519,9500452;519,9500452;448,9500452;448,9500452;519,9500452;519,9500452;519,9500452;519,9500452;519,9500452;539,9500452;602,9500452;602,9500452;602,9500452;602,9500452;602,9500452;602,9500452;602,9500452;602,9500452;602,9500452;602,9500452;602,9500452;602,9500452;550,8810452
5/01/2024;609,5010866;609,5010866;609,5010866;609,5010866;609,5010866;609,5010866;609,5010866;609,5010866;609,5010866;609,5010866;609,5010866;614,4990866;614,4990866;614,4990866;624,4680866;624,4680866;649,4990866;649,4990866;650,4990866;650,4990866;650,4990866;649,4990866;649,4990866;614,4990866
6/01/2024;652,6205521;651,6205521;651,6205521;619,6205521;609,6225521;609,6225521;609,6225521;609,6205521;609,6225521;609,6225521;609,6225521;609,6225521;609,6225521;609,6225521;609,6225521;609,6225521;609,6225521;629,6115521;652,6205521;652,6205521;651,6205521;651,6205521;651,6205521;651,6205521
7/01/2024;636,2440148;636,2440148;636,2440148;628,0040148;628,0040148;628,0040148;618,2440148;618,2440148;618,2440148;618,2440148;618,2440148;628,0040148;636,2440148;636,2440148;636,2440148;636,2440148;636,2440148;636,2440148;649,0940148;649,0940148;649,0940148;649,0940148;649,0940148;636,2440148
8/01/2024;649,1596479;649,1596479;625,3756479;579,1596479;579,1596479;579,1596479;579,1596479;559,1596479;559,1596479;550,1596479;609,1596479;625,3756479;649,1596479;649,1596479;649,1596479;649,1596479;674,1596479;674,1596479;720,1596479;720,1596479;720,1596479;674,1596479;674,1596479;674,1596479
9/01/2024;671,1566678;671,1566678;671,1566678;671,1566678;671,1566678;671,1566678;671,1566678;671,1566678;671,1566678;671,1566678;671,1566678;698,1566678;704,1566678;710,1566678;710,1566678;710,1566678;710,1566678;710,1566678;721,1566678;721,1566678;710,1566678;710,1566678;704,1566678;671,1566678
10/01/2024;661,0293539;636,0293539;636,0293539;636,0293539;636,0293539;636,0293539;636,0293539;636,0293539;636,0293539;661,0293539;661,0293539;661,0293539;661,0293539;661,0293539;662,0293539;662,0293539;699,0293539;699,0293539;699,0293539;699,0293539;714,0293539;699,0293539;699,0293539;661,0293539
