Fecha,CodFronteraDDV,Periodo,Lectura
2024-06-01 0:00,Frt34219,periodo01,45.28
2024-06-01 0:00,Frt34219,periodo02,51.55
2024-06-01 0:00,Frt34219,periodo03,44.51
2024-06-01 0:00,Frt34219,periodo04,51.21
2024-06-01 0:00,Frt34219,periodo05,48.21
2024-06-01 0:00,Frt34219,periodo06,46.73
2024-06-01 0:00,Frt34219,periodo07,70.54
2024-06-01 0:00,Frt34219,periodo08,104.19
2024-06-01 0:00,Frt34219,periodo09,124.99
2024-06-01 0:00,Frt34219,periodo10,142.17
2024-06-01 0:00,Frt34219,periodo11,139.42
2024-06-01 0:00,Frt34219,periodo12,134.46
2024-06-01 0:00,Frt34219,periodo13,133.99
2024-06-01 0:00,Frt34219,periodo14,141.27
2024-06-01 0:00,Frt34219,periodo15,125.28
2024-06-01 0:00,Frt34219,periodo16,134.44
2024-06-01 0:00,Frt34219,periodo17,129.99
2024-06-01 0:00,Frt34219,periodo18,139.44
2024-06-01 0:00,Frt34219,periodo19,129.81
2024-06-01 0:00,Frt34219,periodo20,119.77
2024-06-01 0:00,Frt34219,periodo21,105.31
2024-06-01 0:00,Frt34219,periodo22,53.89
2024-06-01 0:00,Frt34219,periodo23,45.4
2024-06-01 0:00,Frt34219,periodo24,48.09
2024-06-01 0:00,Frt55670,periodo01,2.96
2024-06-01 0:00,Frt55670,periodo02,2.96
2024-06-01 0:00,Frt55670,periodo03,2.82
2024-06-01 0:00,Frt55670,periodo04,2.69
2024-06-01 0:00,Frt55670,periodo05,2.82
2024-06-01 0:00,Frt55670,periodo06,2.82
2024-06-01 0:00,Frt55670,periodo07,2.69
2024-06-01 0:00,Frt55670,periodo08,3.09
2024-06-01 0:00,Frt55670,periodo09,3.08
2024-06-01 0:00,Frt55670,periodo10,3.2
2024-06-01 0:00,Frt55670,periodo11,3.6
2024-06-01 0:00,Frt55670,periodo12,3.73
2024-06-01 0:00,Frt55670,periodo13,4.25
2024-06-01 0:00,Frt55670,periodo14,4.38
2024-06-01 0:00,Frt55670,periodo15,4.38
2024-06-01 0:00,Frt55670,periodo16,4.67
2024-06-01 0:00,Frt55670,periodo17,4.42
2024-06-01 0:00,Frt55670,periodo18,4.43
2024-06-01 0:00,Frt55670,periodo19,4.03
2024-06-01 0:00,Frt55670,periodo20,3.76
2024-06-01 0:00,Frt55670,periodo21,3.76
2024-06-01 0:00,Frt55670,periodo22,3.63
2024-06-01 0:00,Frt55670,periodo23,3.36
2024-06-01 0:00,Frt55670,periodo24,3.36
2024-06-01 0:00,Frt55700,periodo01,1.48
2024-06-01 0:00,Frt55700,periodo02,1.34
2024-06-01 0:00,Frt55700,periodo03,1.07
2024-06-01 0:00,Frt55700,periodo04,1.21
2024-06-01 0:00,Frt55700,periodo05,1.07
2024-06-01 0:00,Frt55700,periodo06,1.21
2024-06-01 0:00,Frt55700,periodo07,0.94
2024-06-01 0:00,Frt55700,periodo08,1.34
2024-06-01 0:00,Frt55700,periodo09,1.34
2024-06-01 0:00,Frt55700,periodo10,1.87
2024-06-01 0:00,Frt55700,periodo11,2.26
2024-06-01 0:00,Frt55700,periodo12,2.67
2024-06-01 0:00,Frt55700,periodo13,2.93
2024-06-01 0:00,Frt55700,periodo14,3.18
2024-06-01 0:00,Frt55700,periodo15,3.32
2024-06-01 0:00,Frt55700,periodo16,3.47
2024-06-01 0:00,Frt55700,periodo17,3.35
2024-06-01 0:00,Frt55700,periodo18,3.22
2024-06-01 0:00,Frt55700,periodo19,2.96
2024-06-01 0:00,Frt55700,periodo20,2.69
2024-06-01 0:00,Frt55700,periodo21,2.28
2024-06-01 0:00,Frt55700,periodo22,2.15
2024-06-01 0:00,Frt55700,periodo23,1.88
2024-06-01 0:00,Frt55700,periodo24,1.75
2024-06-01 0:00,Frt55666,periodo01,2.42
2024-06-01 0:00,Frt55666,periodo02,2.55
