Fecha,AGENTE,CodFronteraDDV,ValorLBC
2024-06-01,SXMC,Frt34219,1731.0
2024-06-01,XEMC,Frt55670,86.29
2024-06-01,XEMC,Frt55700,49.16
2024-06-01,XEMC,Frt55666,104.95
2024-06-01,XEMC,Frt55672,84.76
2024-06-01,XEMC,Frt55655,260.5
2024-06-01,XEMC,Frt55687,1020.4
2024-06-01,XEMC,Frt55645,312.83
2024-06-01,XEMC,Frt55664,145.24
2024-06-01,XEMC,Frt55671,88.53
2024-06-01,XEMC,Frt55656,75.88
2024-06-01,XEMC,Frt55701,14.76
2024-06-01,XEMC,Frt55659,142.59
2024-06-01,XEMC,Frt55660,145.35
2024-06-01,XEMC,Frt55679,53.95
2024-06-01,XEMC,Frt55677,67.62
2024-06-01,XEMC,Frt55663,31.82
2024-06-01,XEMC,Frt55648,200.02
2024-06-01,XEMC,Frt55650,227.15
2024-06-01,XEMC,Frt55651,218.28
2024-06-01,XEMC,Frt55649,209.51
2024-06-01,XEMC,Frt55669,91.9
2024-06-01,XEMC,Frt55665,128.52
2024-06-01,XEMC,Frt55646,262.65
2024-06-01,XEMC,Frt55693,0.0
2024-06-01,XEMC,Frt55682,40.29
2024-06-01,XEMC,Frt55673,72.31
2024-06-01,XEMC,Frt55667,43.2
2024-06-01,XEMC,Frt55657,155.04
2024-06-01,XEMC,Frt55668,89.25
2024-06-01,XEMC,Frt55675,73.23
2024-06-01,XEMC,Frt55674,67.01
2024-06-01,XEMC,Frt55652,236.64
2024-06-01,XEMC,Frt55647,230.41
2024-06-01,XEMC,Frt55658,0.0
2024-06-01,XEMC,Frt55686,326.91
2024-06-01,XEMC,Frt55662,0.0
2024-06-01,XEMC,Frt55654,165.24
2024-06-01,XEMC,Frt55681,44.57
2024-06-01,XEMC,Frt55644,2194.7
2024-06-01,SXMC,Frt33302,30535.0
2024-06-01,AXLC,Frt38741,21120.12
2024-06-01,SXMC,Frt31803,10770.0
2024-06-01,SXMC,Frt31806,9288.0
2024-06-01,SXMC,Frt45208,5137.0
2024-06-01,SXMC,Frt31276,4525.0
2024-06-01,SXMC,Frt44325,17819.0
2024-06-01,SXMC,Frt36400,10948.0
2024-06-01,SXMC,Frt31618,2224.0
2024-06-01,SXMC,Frt52629,1276.0
2024-06-01,SXMC,Frt52630,2194.0
2024-06-01,SXMC,Frt31619,2705.0
2024-06-01,SXMC,Frt31805,1826.0
2024-06-01,SXMC,Frt32087,1081.0
2024-06-01,SXMC,Frt32884,1909.0
2024-06-01,SXMC,Frt52641,3644.0
2024-06-01,SXMC,Frt32034,2573.0
2024-06-01,XEMC,Frt45509,2255.73
2024-06-01,SXMC,Frt38326,2632.0
2024-06-01,SXMC,Frt53783,0.0
2024-06-01,SXMC,Frt33368,31778.0
2024-06-01,SXMC,Frt31594,4076.0
2024-06-01,XEMC,Frt45194,1517.65
2024-06-01,XEMC,Frt45194,1475.94
2024-06-01,XEMC,Frt45194,1510.62
2024-06-01,XEMC,Frt45194,1485.12
2024-06-01,SXMC,Frt38323,2194.0
2024-06-01,SXMC,Frt52484,13432.0
2024-06-01,SXMC,Frt31804,3231.0
2024-06-01,XEMC,Frt45081,0.0
2024-06-01,XEMC,Frt45189,3633.55
2024-06-01,SXMC,Frt31270,5500.0
2024-06-01,SXMC,Frt45209,5595.0
2024-06-01,SXMC,Frt35146,6925.0
2024-06-01,SINC,Frt42036,7396.15
2024-06-01,AXLC,Frt50891,10460.1
2024-06-01,AXLC,Frt52480,10687.56
2024-06-01,SXMC,Frt31252,8136.0
2024-06-01,XEMC,Frt45193,1483.99
2024-06-01,SXMC,Frt32090,1556.0
2024-06-01,XEMC,Frt45086,3017.16
2024-06-01,SXMC,Frt32346,1005.0
2024-06-01,SXMC,Frt32037,1429.0
2024-06-01,XEMC,Frt45064,0.0
2024-06-01,SINC,Frt51123,3609.67
2024-06-01,SXMC,Frt31288,5027.0
2024-06-01,SXMC,Frt45210,3549.0
2024-06-01,AXLC,Frt46170,6274.02
2024-06-01,SXMC,Frt32026,1331.0
2024-06-01,SXMC,Frt32088,1725.0
2024-06-01,SXMC,Frt32134,1443.0
2024-06-01,SXMC,Frt32600,1887.0
2024-06-01,SXMC,Frt47625,8136.0
2024-06-01,SXMC,Frt31597,2718.0
2024-06-01,SINC,Frt51122,7420.35
2024-06-01,XEMC,Frt36500,4939.24
2024-06-01,SXMC,Frt50133,12869.0
2024-06-01,SXMC,Frt32032,896.0
2024-06-01,SXMC,Frt52384,2756.0
2024-06-01,SXMC,Frt31617,3032.0
2024-06-01,SXMC,Frt31615,5654.0
2024-06-01,SXMC,Frt32027,905.0
2024-06-01,SXMC,Frt52633,1018.0
2024-06-01,SINC,Frt39791,83508.66
2024-06-01,SXMC,Frt36765,1625.0
2024-06-01,SXMC,Frt35787,15318.0
2024-06-01,SXMC,Frt50731,20936.0
2024-06-01,XEMC,Frt45097,0.0
2024-06-01,SXMC,Frt32321,870.0
2024-06-01,SINC,Frt38052,1799.93
2024-06-01,XEMC,Frt36623,6439.36
2024-06-01,SINC,Frt32883,2939.32
2024-06-01,SINC,Frt38049,1546.28
2024-06-01,SINC,Frt37125,1830.47
2024-06-01,SXMC,Frt32181,1188.0
2024-06-01,XEMC,Frt45085,3389.46
2024-06-01,SXMC,Frt32274,3425.0
2024-06-01,SXMC,Frt46389,8192.0
2024-06-01,SXMC,Frt31307,4436.0
2024-06-01,SXMC,Frt37959,2781.0
2024-06-01,SXMC,Frt52628,1621.0
2024-06-01,XEMC,Frt36605,5090.0
2024-06-01,SXMC,Frt51740,86227.0
2024-06-01,XEMC,Frt36498,9513.85
2024-06-01,SXMC,Frt43098,10132.0
2024-06-01,SINC,Frt32707,11375.46
2024-06-01,XEMC,Frt47194,41826.63
2024-06-01,SXMC,Frt31305,4900.0
2024-06-01,SINC,Frt34084,21161.04
2024-06-01,SXMC,Frt31277,4703.0
